FIPS,response,Density.per.square.mile.of.land.area...Population,Ave.Tmp,crime_rate_per_100000_scaled,percent.male,percent.disabled,percent.age.65.plus,percent.black,percent.hispanic,Urban_Influence_Code_2013,Unemployment_rate_2018,Median_Household_Income_2018,Percent.of.adults.with.HS.or.less.2014.18,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total.Hospitals..2019.,state.testing.rate,days_closing_of_public_venues,days_social_distancing
42043,0,510.6,62.36666667,52.52143487,0.484371899,0.126410607,0.169622912,0.1918967,0.096442762,2,4,57979,43.9,273.3,4.305618,9249.195574,48,0
30041,0,5.6,50.93333333,52.51086432,0.502599865,0.13264,0.152076834,0.005138558,0.036459289,11,3.6,50136,40.1,236.2,0.861741214,15471.40753,33,0
39027,0,102.9,62.46666667,52.44963643,0.49333048,0.13264,0.17062558,0.022421951,0.015431438,3,5.3,53947,51.2,248.6,0.6979852,12155.23009,107,146
13021,1,622.8,73.05,52.41693112,0.469296842,0.159064633,0.155955452,0.55525654,0.034070348,2,4.5,41390,45.9,202.9,2.110255027,14245.1139,139,138
47093,0,850.5,67.66666667,52.24662747,0.485732523,0.117649461,0.158312361,0.089129552,0.043936134,2,2.9,55874,34.8,225.8,7.903716,21323.79406,42,142
37181,1,179.2,68.58333333,52.22281735,0.467430802,0.13264,0.18491768,0.514736889,0.079740703,3,5.7,40263,57,223.5,0.480871218,16127.1973,105,108
40013,0,46.9,71.51666667,52.21046922,0.488832853,0.13264,0.179627903,0.019325309,0.060730632,5,3.1,43445,46,189.1,1.496039,15327.709,30,0
49005,0,96.7,52.43333333,52.17733451,0.501046684,0.073740045,0.094508452,0.011190858,0.108563919,2,2.7,60315,27.2,199.9,2.170656,16163.37457,44,102
39035,0,2800,60.01666667,52.12349405,0.47709986,0.1496418,0.181679244,0.304676502,0.061688763,1,5.2,50006,38.7,248.6,20.64327,12155.23009,39,100
29213,0,81.7,66.01666667,52.07652823,0.483814367,0.13264,0.216787223,0.016669054,0.061519731,5,5.2,40887,45.3,236.3,1.11221699,10768.33814,99,99
18017,1,94.5,60.1,51.99802408,0.499486234,0.13264,0.177921223,0.021578185,0.159293901,5,3.7,48598,54.1,212,0.748677725,10757.79026,56,82
39125,0,47.1,59.93333333,51.93725979,0.498773987,0.13264,0.185767591,0.011940299,0.048240938,6,4.1,53876,59.5,248.6,0.3113442,12155.23009,107,146
37117,0,53.1,70.55,51.90092409,0.470071898,0.13264,0.231396939,0.42278682,0.041594989,6,5,43569,51.2,223.5,0.244534372,16127.1973,105,108
18055,0,61.1,63.53333333,51.85930875,0.50053115,0.13264,0.195213397,0.002811973,0.014872211,6,4.4,46835,54,212,0.631331294,10757.79026,56,82
18153,0,48,64.38333333,51.83056118,0.543305945,0.13264,0.179700338,0.04780087,0.017931368,2,4.7,47554,56,212,0.408118618,10757.79026,56,82
47107,0,121.5,68.85,51.77585449,0.487473022,0.13264,0.196265365,0.038378531,0.042113165,5,4.1,46029,57.8,225.8,0.9051353,21323.79406,35,0
5039,0,12.2,70.38333333,51.68284382,0.494152047,0.13264,0.231829574,0.413394598,0.033695349,6,4.4,37259,59.8,188.2,0.209705607,16422.7034,52,95
