FIPS,County_Equivalent,POP_ESTIMATE_2018.x,pop.density.percentile,case.rate,case.rate.percentile,response,percent_race,race
31095,Jefferson,7097,0.206339341,2.395378329,0.136855506,0,0.041566859,hispanic
27143,Sibley,15028,0.33685519,5.523023689,0.38478676,0,0.094224115,hispanic
28015,Carroll,9911,0.243940336,26.33437595,0.918204965,1,0.016749067,hispanic
46077,Kingsbury,4919,0.128340584,2.846107,0.171546785,0,0.021142509,hispanic
31093,Howard,6468,0.18614046,8.503401361,0.544875875,0,0.027056277,hispanic
31035,Clay,6214,0.189869484,8.046346958,0.524188415,0,0.09253299,hispanic
28157,Wilkinson,8792,0.222187694,24.11282985,0.901336728,1,0.009326661,hispanic
28009,Benton,8271,0.290242387,17.41022851,0.804264799,1,0.0276871,hispanic
46053,Gregory,4212,0.098819142,1.661918,0.077975812,0,0.015906933,hispanic
31059,Fillmore,5527,0.179614667,4.342319522,0.298535964,0,0.041071105,hispanic
19071,Fremont,6993,0.222187694,6.006006006,0.411839593,0,0.030602031,hispanic
5097,Montgomery,8924,0.194841516,3.922008068,0.258434118,0,0.045607351,hispanic
31143,Polk,5278,0.195773773,4.926108374,0.341820496,0,0.062713149,hispanic
31011,Boone,5239,0.151025482,1.527008971,0.068109484,0,0.024432144,hispanic
46045,Edmunds,3875,0.085767557,3.870968,0.25334182,0,0.019870968,hispanic
46085,Lyman,3821,0.055003108,23.55404,0.891470401,1,0.026956294,hispanic
46025,Clark,3739,0.091361094,4.279219,0.291534055,0,0.031826692,hispanic
39121,Noble,14354,0.427905531,1.114672,0.045830681,0,0.006548697,hispanic
31065,Furnas,4715,0.137663145,3.181336161,0.198917887,0,0.044750795,hispanic
19143,Osceola,6040,0.237103791,13.74172185,0.725970719,0,0.085264901,hispanic
38085,Sioux,4358,0.089807334,19.04543,0.830999363,1,0.046351537,hispanic
31175,Valley,4190,0.144810441,2.386634845,0.134627626,0,0.030310263,hispanic
38081,Sargent,3870,0.108452455,2.583979,0.148949714,0,0.031782946,hispanic
2240,Southeast Fairbanks,6918,0.005593536,2.457357618,0.140992998,0,0.063746748,hispanic
38019,Cavalier,3829,0.065879428,8.096109,0.526416295,0,0.018020371,hispanic
46043,Douglas,2935,0.139216905,5.792164,0.397835773,0,0.019420784,hispanic
1105,Perry,9140,0.22311995,48.35886214,0.990133673,1,0.014442013,hispanic
46105,Perkins,2922,0.021441889,2.053388,0.106938256,0,0.015058179,hispanic
46003,Aurora,2801,0.089807334,13.56658,0.721514959,0,0.063905748,hispanic
30039,Granite,3378,0.043505283,4.736530491,0.327498409,0,0.023386619,hispanic
38029,Emmons,3295,0.058110628,5.159332,0.358052196,0,0.010925645,hispanic
38031,Foster,3216,0.118707272,7.773632,0.507638447,0,0.020833333,hispanic
31083,Harlan,3401,0.128340584,0.294031167,0.019096117,0,0.0226404,hispanic
38011,Bowman,3076,0.065879428,1.950585176,0.098345003,0,0.05396619,hispanic
46111,Sanborn,2429,0.095090118,5.351997,0.373647358,0,0.037052285,hispanic
46089,McPherson,2407,0.053760099,3.323639,0.2119669,0,0.013710012,hispanic
30025,Fallon,2920,0.043505283,0.684931507,0.030553787,0,0.016780822,hispanic
2290,Yukon-Koyukuk,5327,0.000310752,9.76159189,0.598345003,0,0.027782992,hispanic
27107,Norman,6475,0.150093226,6.177606178,0.423297263,0,0.049266409,hispanic
31163,Sherman,3038,0.1230578,3.62080316,0.233927435,0,0.024687294,hispanic
28125,Sharkey,4377,0.189869484,45.00799634,0.986314449,1,0.021704364,hispanic
20105,Lincoln,3023,0.108452455,1.984783328,0.102164227,0,0.036718492,hispanic
31017,Brown,2973,0.062461156,0,0.017186505,0,0.019172553,hispanic
18161,Union,7037,0.500310752,5.826346454,0.398790579,0,0.018473781,hispanic
20089,Jewell,2841,0.081106277,3.8718761,0.253660089,0,0.025343189,hispanic
38051,McIntosh,2585,0.071783717,11.60542,0.665499682,0,0.023984526,hispanic
46073,Jerauld,2043,0.091361094,19.08957,0.831635901,1,0.049926579,hispanic
29075,Gentry,6628,0.211622126,12.52263126,0.692234246,0,0.017048884,hispanic
46017,Buffalo,2036,0.095090118,53.53635,0.99299809,1,0.049115914,hispanic
30051,Liberty,2430,0.038222498,0.411522634,0.02068746,0,0.008641975,hispanic
31133,Pawnee,2632,0.130205096,3.419452888,0.21896881,0,0.018617021,hispanic
31063,Frontier,2608,0.068365444,1.150306748,0.047422024,0,0.023389571,hispanic
38043,Kidder,2450,0.043505283,5.714286,0.392743475,0,0.040408163,hispanic
37073,Gates,11573,0.416096955,3.974768859,0.263526416,0,0.022725309,hispanic
46055,Haakon,1918,0.02454941,1.042753,0.042966264,0,0.020855057,hispanic
40059,Harper,3797,0.082970789,2.633658,0.152768937,0,0.246247037,hispanic
48169,Garza,6578,0.140770665,15.05017,0.757161044,1,0.523715415,hispanic
17065,Hamilton,8163,0.267557489,3.55261546,0.229471674,0,0.017150557,hispanic
20049,Elk,2508,0.108452455,0.398724083,0.020050923,0,0.04585327,hispanic
13165,Jenkins,8683,0.3154133,28.10088679,0.929662635,1,0.056201774,hispanic
38001,Adams,2294,0.058110628,0.871839582,0.035964354,0,0.014385353,hispanic
38023,Divide,2283,0.038222498,0.8760403,0.036282623,0,0.025843189,hispanic
18115,Ohio,5844,0.619639528,11.12251882,0.648631445,0,0.014715948,hispanic
31077,Greeley,2356,0.108452455,4.244482173,0.287396563,0,0.025042445,hispanic
